,Customer Name,Review Title,Rating,Reviews
0,Vijay Gandhi,OnePlus 9R - Not As per Expectations,1.0 out of 5 stars,  Battery Issue.... Phone is Heating during Charging and During Running Application.
1,NeHaaL,Heating issue,1.0 out of 5 stars,  Facing heating issue while using camera app and general usage in 60hz refresh rate if I use 120hz it gradually heating issue increase please solve this problem
2,Mohit MJ,Amazing - True Flagship,5.0 out of 5 stars,"  My first time buying a OnePlus phone and I really like the finish of the one. Camera is excellent, Android 11 is very smooth to use, functions are fast.Just my first day of usage so hard to be critical of anything. The downside for me is that there is no place expand the memory."
3,AshokA,Over heat mobile,1.0 out of 5 stars,  Within 10 minutes of usage. It’s felt like over heat. I can’t experienced any mobile like this.
4,nikhitha,Disappointed with 9 R Mobile,2.0 out of 5 stars,"  Iam OnePlus user since 4 years, I exchange my one Plus 7 pro mobile with OnePlus 9 R Not expected From One Plus, quality is not good, Look like cheep mobile, camera quality also not good, one Plus 7 pro superb mobile, totally iam disappointed with 9R."
5,SANTHOSH S.,HEATING ISSUE,1.0 out of 5 stars,  I don't why no reviewer is speaking about it. It was heating with a normal usage.
6,ASHANNITA,Claim for Replacement of Oneplus 9R phone...,1.0 out of 5 stars,"  HiPlease consider this message with a serious note the One Plus 9R which was bought on the above mention date got hanged and did not open exactly on the 13th day of buying it. The replacement policy was only for 10 days and my phone showed prblms from the 13th day. I took it to the One Plus Care Centre and they said it needed an update i waited for 3 days for the 'So Called' update to arrive but after 3 days the Care Centre informed me that this phone needed a Motherboard change when i ask them to replace the phone, they said that the care could not replace it for a new one because i had bought from amazon. They are now suggesting to replace it through amazon only. Is this what i bought a 40k One Plus phone for? If i can only tag the Oneplus company people in this!!!!!What kind of mobile phones do they sell???And also i want to claim a replacement of my phone from Amazon....i just dont care if the 10 days return policy is over.... I just want to say that i bought a 40k worth phone from you guys... And that it doesnt work...been waiting for more than 7 days now....with a ""Dabba"" phone in hand..... Is this the kind of service you provide??? I really would like you to have my phone replaced at the earliest Reply back soon......"
7,Christhuraj,Lovin it.,5.0 out of 5 stars,  After 5 days of usage writing this review.1. Best camera quality for the price2. Snapdragon 870 is doing its best in speed with 120Hz display. - Best3. 65W charger takes only 35 min to charge 100% from 15%. - Best4.  Fluid amoled display is awesome on its smoothness. - best5. Lake blue colour is simply awesome 💙Issues1. Facing very lite heating issue.2. Found a bug and informed OnePlus customer service which is if we turn on call recording on call it indicates opponent also that we are recording call. They told they will correct it in next update. Hope this will be cleared but not sure.I give 95/100 for this mobile.
8,Aditya,Very good budget smartphone form OnePlus,4.0 out of 5 stars,"  I am writing down this after using for a couple of days. I got the carbon black one with 12GB RAM.  Overall the device is good, and honestly is the reskin of one plus 8T with lower price 😁.  I will list down the pros and cons -pros -1. With Oxygen OS 11, the overall user experience is quite smooth. You will get an update as soon as you finish setup.2. The Warp 65 fast charging is fine, takes around 35 mins for one full charge.3. The screen to body ratio is good.4. The matt finish on the back side is awesome.Cons -1. Battery drains a little fast, not sure if some future updates will fix it.2. Rear Camera is ok, can be better.3. I would have preferred popup front camera, rather than the punch hole.4. For dual apps, I would have loved to see the option for all apps. Right now it has support for few.5. support for few more 5G bands will be good to have."
9,ArcTyag,Honest Review after 4 Days of use.,3.0 out of 5 stars,"  Writing after 4 Days of use1. Heating Issues -you will start noticing from the very first use2. Battery - charges 0 to 100 in just 35-40 mins but also drains so fast. Need to Charges twice in a day after using whatsapp, some browsing, calling.3. Camera - Not very good. Less than as expected. Think twice before buying if you are camera enthusiastic.4. Smooth- 120hZ and 60hZ both condition works well. I found it smooth to use and open apps5. Snap 870 processor really works.6. Other Oneplus features works good.7. Not a flagship phone.Money and Decision is yours..!!Thanks"
10,Nethra,"It's not a worthy mobile, it has camera and heating issue for this price it's not good",1.0 out of 5 stars,"  OnePlus 9r is best of both world that you get from samsung and apple. I would rate full 5 stars for mobile except camera and heating issue. Also, the delivery experience while exchanging mobile turned out to be worst. Hence rating overall 1star for the bad and worst humiliated experience. Now I'm afraid to order again from Amazon."
11,Rahul,Heating problem,3.0 out of 5 stars,"  I have recieved this new phone yesterday. Since I have started using its been heating all the time, while on charge, playing games etc.. All other things are pretty good."
12,Ramapriya Sriram,Worst phone by one plus,1.0 out of 5 stars,"  Worst phone by one plusHeating issues :yesBattery drain : yesPhone hang or crash : twice in a dayPhone needs a restart daily else it will stop working. Once it's restarted all settings changes to default.Dissatisfied, disappointed by one plus"
